District,Total votes,EVM votes,Postal votes,Winner,votes of winner,Winner votes %,winning party
Uttar Pradesh-Salempur,922518,915811,6707,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Ballia,989732,981112,8620,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Jaunpur,1040652,1038560,2092,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Machhlishahr,1034925,1032111,2814,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Ghazipur,1105627,1099890,5737,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Chandauli,1084961,1080060,4901,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Varanasi,1060476,1058744,1732,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Bhadohi,1039390,1037229,2161,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Mirzapur,1108965,1107660,1305,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Robertsganj,988287,987589,698,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
